Level,Workout_Type,Duration_Min,Calories_Burned,Food_Item,Calories,Protein_g,Carbs_g,Fats_g,Goal,Meal,Workout_Duration_Min,Workout_Calories,Food_Calories,Net_Calories
Advanced,Strength,,708.0,,,,,,,,68.0,,,
Beginner,Yoga,,289.0,,,,,,,,63.0,,,
Advanced,Cardio,,395.0,,,,,,,,75.0,,,
Advanced,Strength,,544.0,,,,,,,,47.0,,,
Beginner,HIIT,,636.0,,,,,,,,25.0,,,
Beginner,HIIT,,625.0,,,,,,,,80.0,,,
Advanced,Cardio,,666.0,,,,,,,,39.0,,,
Intermediate,Strength,,333.0,,,,,,,,21.0,,,
Advanced,Cardio,,169.0,,,,,,,,56.0,,,
Advanced,Cardio,,707.0,,,,,,,,39.0,,,
Advanced,Strength,,673.0,,,,,,,,45.0,,,
Advanced,Strength,,731.0,,,,,,,,48.0,,,
Beginner,Yoga,,678.0,,,,,,,,20.0,,,
Advanced,Strength,,296.0,,,,,,,,54.0,,,
Intermediate,HIIT,,453.0,,,,,,,,89.0,,,
Beginner,Cardio,,769.0,,,,,,,,78.0,,,
Intermediate,Cardio,,731.0,,,,,,,,88.0,,,
Intermediate,HIIT,,377.0,,,,,,,,52.0,,,
Intermediate,Strength,,251.0,,,,,,,,70.0,,,
Intermediate,HIIT,,736.0,,,,,,,,31.0,,,
Beginner,HIIT,,566.0,,,,,,,,39.0,,,
Beginner,Yoga,,365.0,,,,,,,,72.0,,,
Intermediate,HIIT,,556.0,,,,,,,,62.0,,,
Intermediate,Cardio,,548.0,,,,,,,,69.0,,,
Beginner,HIIT,,648.0,,,,,,,,48.0,,,
Beginner,Cardio,,614.0,,,,,,,,76.0,,,
Beginner,Cardio,,231.0,,,,,,,,58.0,,,
Advanced,Cardio,,753.0,,,,,,,,75.0,,,
Advanced,Strength,,514.0,,,,,,,,62.0,,,
Advanced,Yoga,,312.0,,,,,,,,69.0,,,
Intermediate,Cardio,,197.0,,,,,,,,42.0,,,
Advanced,Cardio,,660.0,,,,,,,,63.0,,,
Intermediate,Strength,,478.0,,,,,,,,57.0,,,
Intermediate,Cardio,,265.0,,,,,,,,42.0,,,
Advanced,HIIT,,486.0,,,,,,,,64.0,,,
Intermediate,HIIT,,296.0,,,,,,,,71.0,,,
Advanced,Yoga,,724.0,,,,,,,,69.0,,,
Advanced,Cardio,,472.0,,,,,,,,27.0,,,
Beginner,Strength,,592.0,,,,,,,,20.0,,,
Advanced,HIIT,,162.0,,,,,,,,27.0,,,
Beginner,Strength,,643.0,,,,,,,,48.0,,,
Advanced,Strength,,436.0,,,,,,,,24.0,,,
Advanced,HIIT,,263.0,,,,,,,,66.0,,,
Beginner,Strength,,629.0,,,,,,,,53.0,,,
Beginner,HIIT,,171.0,,,,,,,,84.0,,,
Advanced,Strength,,498.0,,,,,,,,74.0,,,
Intermediate,HIIT,,715.0,,,,,,,,62.0,,,
Beginner,Cardio,,469.0,,,,,,,,49.0,,,
Intermediate,Yoga,,275.0,,,,,,,,36.0,,,
Intermediate,HIIT,,426.0,,,,,,,,45.0,,,
Intermediate,HIIT,,353.0,,,,,,,,27.0,,,
Beginner,Yoga,,343.0,,,,,,,,66.0,,,
Intermediate,HIIT,,696.0,,,,,,,,65.0,,,
Beginner,HIIT,,435.0,,,,,,,,87.0,,,
Intermediate,Strength,,206.0,,,,,,,,52.0,,,
Advanced,Yoga,,452.0,,,,,,,,20.0,,,
Advanced,Cardio,,312.0,,,,,,,,38.0,,,
Beginner,HIIT,,168.0,,,,,,,,50.0,,,
Advanced,Yoga,,519.0,,,,,,,,33.0,,,
Advanced,Strength,,413.0,,,,,,,,72.0,,,
Intermediate,Cardio,,262.0,,,,,,,,67.0,,,
Beginner,Yoga,,637.0,,,,,,,,88.0,,,
Intermediate,Cardio,,476.0,,,,,,,,81.0,,,
Intermediate,Cardio,,691.0,,,,,,,,85.0,,,
Intermediate,Cardio,,796.0,,,,,,,,83.0,,,
Intermediate,HIIT,,728.0,,,,,,,,89.0,,,
Intermediate,HIIT,,214.0,,,,,,,,82.0,,,
Intermediate,Strength,,441.0,,,,,,,,52.0,,,
Intermediate,Strength,,174.0,,,,,,,,60.0,,,
Beginner,Yoga,,698.0,,,,,,,,67.0,,,
Advanced,Strength,,150.0,,,,,,,,32.0,,,
Intermediate,Cardio,,698.0,,,,,,,,50.0,,,
Intermediate,Cardio,,290.0,,,,,,,,87.0,,,
Intermediate,HIIT,,797.0,,,,,,,,23.0,,,
Intermediate,Cardio,,337.0,,,,,,,,38.0,,,
Intermediate,Yoga,,277.0,,,,,,,,89.0,,,
